"sample.group"	"dataseries"	"sampleID"	"original.sample.id"	"sample.id"	"timepoint"	"comp_1"	"comp_2"	"comp_3"	"comp_4"	"comp_5"	"comp_6"	"comp_7"	"comp_8"	"LRT_Sample_Treatment"	"original.NGS"	"original.NGS.FN"	"NGS"	"LRT_timepoint"	"dataseries_color"	"f_replicate"	"f_timepoint"	"FASTQ"	"sample.group_color"
"Ctrl_6h"	"Ctrl"	"FRA4505A7"	"control_6h_1"	"Ctrl_6h_1"	6	""	""	""	""	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"2_Ctrl"	"control_24h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A7_R1.fastq.gz"	"FRA4505A7_R1.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/Ctrl_6h_1_R1.fastq.gz"	6	"#FF0000"	"1"	"T6"	"Ctrl_6h_1"	"#C09B00"
"HighFatDiet_0h"	"HighFatDiet"	"FRA4505A13"	"high_fat_diet_0h_1"	"HighFatDiet_0h_1"	0	""	""	""	""	"1_HighFatDiet"	""	""	""	"control_2h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A13_R1.fastq.gz"	"FRA4505A13_R1.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/HighFatDiet_0h_1_R1.fastq.gz"	0	"#CCFF00"	"1"	"T0"	"HighFatDiet_0h_1"	"#7CAE00"
"HighFatDiet_0h"	"HighFatDiet"	"FRA4505A15"	"high_fat_diet_0h_3"	"HighFatDiet_0h_3"	0	""	""	""	""	"1_HighFatDiet"	""	""	""	"control_2h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A15_R2.fastq.gz"	"FRA4505A15_R2.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/HighFatDiet_0h_3_R2.fastq.gz"	0	"#CCFF00"	"3"	"T0"	"HighFatDiet_0h_3"	"#7CAE00"
"HighFatDiet_0h"	"HighFatDiet"	"FRA4505A13"	"high_fat_diet_0h_1"	"HighFatDiet_0h_1"	0	""	""	""	""	"1_HighFatDiet"	""	""	""	"control_2h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A13_R2.fastq.gz"	"FRA4505A13_R2.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/HighFatDiet_0h_1_R2.fastq.gz"	0	"#CCFF00"	"1"	"T0"	"HighFatDiet_0h_1"	"#7CAE00"
"HighFatDiet_0h"	"HighFatDiet"	"FRA4505A14"	"high_fat_diet_0h_2"	"HighFatDiet_0h_2"	0	""	""	""	""	"1_HighFatDiet"	""	""	""	"control_2h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A14_R1.fastq.gz"	"FRA4505A14_R1.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/HighFatDiet_0h_2_R1.fastq.gz"	0	"#CCFF00"	"2"	"T0"	"HighFatDiet_0h_2"	"#7CAE00"
"HighFatDiet_0h"	"HighFatDiet"	"FRA4505A14"	"high_fat_diet_0h_2"	"HighFatDiet_0h_2"	0	""	""	""	""	"1_HighFatDiet"	""	""	""	"control_2h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A14_R2.fastq.gz"	"FRA4505A14_R2.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/HighFatDiet_0h_2_R2.fastq.gz"	0	"#CCFF00"	"2"	"T0"	"HighFatDiet_0h_2"	"#7CAE00"
"HighFatDiet_0h"	"HighFatDiet"	"FRA4505A15"	"high_fat_diet_0h_3"	"HighFatDiet_0h_3"	0	""	""	""	""	"1_HighFatDiet"	""	""	""	"control_2h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A15_R1.fastq.gz"	"FRA4505A15_R1.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/HighFatDiet_0h_3_R1.fastq.gz"	0	"#CCFF00"	"3"	"T0"	"HighFatDiet_0h_3"	"#7CAE00"
"HighFatDiet_24h"	"HighFatDiet"	"FRA4505A22"	"high_fat_diet_24h_1"	"HighFatDiet_24h_1"	24	"1_high_fat_diest_24h"	""	""	""	"1_HighFatDiet"	""	""	""	"control_2h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A22_R1.fastq.gz"	"FRA4505A22_R1.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/HighFatDiet_24h_1_R1.fastq.gz"	24	"#CCFF00"	"1"	"T24"	"HighFatDiet_24h_1"	"#A3A500"
"HighFatDiet_24h"	"HighFatDiet"	"FRA4505A22"	"high_fat_diet_24h_1"	"HighFatDiet_24h_1"	24	"1_high_fat_diest_24h"	""	""	""	"1_HighFatDiet"	""	""	""	"control_2h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A22_R2.fastq.gz"	"FRA4505A22_R2.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/HighFatDiet_24h_1_R2.fastq.gz"	24	"#CCFF00"	"1"	"T24"	"HighFatDiet_24h_1"	"#A3A500"
"HighFatDiet_24h"	"HighFatDiet"	"FRA4505A24"	"high_fat_diet_24h_3"	"HighFatDiet_24h_3"	24	"1_high_fat_diest_24h"	""	""	""	"1_HighFatDiet"	""	""	""	"control_2h"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/FRA4505A24_R1.fastq.gz"	"FRA4505A24_R1.fastq.gz"	"/camp/stp/babs/working/boeings/Projects/goulda/adrien.franchet/472_brains_from_drosophila_larvae_RN21220/FASTQ_files/HighFatDiet_24h_3_R1.fastq.gz"	24	"#CCFF00"	"3"	"T24"	"HighFatDiet_24h_3"	"#A3A500"
